0.1983953 0.887913 3.785131 0.41847 1.368739
0.3600289 0.6093741 0.3452445 2.503236 1.650536
1.922001 1.90158 2.770554 2.807089 4.594568
3.852057 5.861211 7.800516 8.246907 9.38601
11.09454 10.18891 10.62094 11.44337 10.83295
13.01846 14.57703 13.15853 16.69512 16.20636
16.46521 17.71836 15.93053 17.01032 17.44981
17.37486 17.5471 19.08565 17.93128 18.58291
19.50944 18.50722 20.69751 20.3711 22.24309
20.6275 22.71805 21.97247 23.07137 24.76773
24.65636 25.40354 23.95372 25.09583 24.99662
26.00221 25.51589 25.4378 25.38302 26.5084
26.42856 26.83079 29.21308 27.40643 30.28473
30.23703 31.11303 31.241 32.2524 33.3485
34.25169 34.56572 34.66405 36.54611 35.40306
36.12161 36.91324 35.99334 37.44977 37.72445
38.65042 40.91925 40.98411 41.5331 41.65842
44.31269 42.01799 44.23686 43.37938 44.51052
46.06661 45.35889 46.8129 47.99707 47.6463
47.77756 49.60122 48.5148 49.76409 50.6971
